Project,Benchmark,Average Duration,Standard Deviation
h2oai,writeMap,6.248730208210537e-05,0.0031807642705632888
h2oai,colsRowsRead,0.09201729972908278,0.0010151615263413747
eclipse,testJavaStringReplaceGrowth,2.1605163698491123e-07,3.4768291091367837e-07
RoaringBitmap,orCardinalityBaseline,0.002990048262854865,8.19802782092301e-05
h2oai,colsRowsRead,0.9175258453335465,0.010009414486806993
netty,setBytes,6.589803202470353e-08,1.5176214601818992e-08
crate,AggregateCollectorBenchmark,0.00035490689777576355,7.250605385274242e-05
cantaloupe-project,processor,0.003756458663739087,0.0033767656335480637
apache,GraphTraversalBenchmark,0.2519918444543922,0.02647119903980118
prometheus,prometheusSimpleCounterChildIncBenchmark,4.6154895487333076e-08,6.1713035665738865e-09
yellowstonegames,measurePointHash6D,7.374244455082424e-08,1.1812235376755559e-08
yellowstonegames,insertIntegerSquidOS,0.0013616767193459038,0.000260394596920271
apache,RecordBatchIterationBenchmark,0.0003725075911110923,5.675776021525171e-05
prestodb,addPagePreCompute,1.2243685333333485e-06,6.698436770258831e-08
netty,httpAddAllFast,2.6585043261108057e-06,6.259720901172389e-07
r2dbc,preparedJdbc,1.3030323661992534e-06,7.584465496704647e-07
openzipkin,writeChineseSpan_JSON_V2,1.7756789976801585e-06,6.01525057671533e-07
apache,operators,8.933376911238282e-08,1.3153330625023254e-08
netty,defaultPooledHeapAllocAndFree,7.228601361825336e-07,3.145206557728433e-05
raphw,benchmarkByteBuddySpecialized,0.0007880097617822967,0.0024384555519237796
jdbi,H2SqlObjectV3Benchmark,8.896911030657856e-06,7.38626116729731e-06
eclipse,map,0.9203593423530675,0.04752261238651346
openzipkin,readClientSpan_THRIFT,4.403314475595815e-06,1.234006774358556e-06
eclipse,testJettyStringUtilReplaceGrowth,1.5324010288449135e-07,4.3308442815276396e-07
jdbi,eq3To3,4.3521076639855845e-07,3.829734024885158e-07
crate,GroupingLongCollectorBenchmark,1.0315670137514692,0.052491711532537524
apache,jmh,5.622996311527742e-08,6.682955277803751e-08
openzipkin,writeClientSpan_PROTO3,1.6201033187981828e-06,5.47777414617364e-07
protostuff,builtInSerializer,1.5000146125184834e-06,7.30357520710756e-07
jdbi,H2SqlObjectV2Benchmark,7.353912030750081e-06,9.453898422687947e-06
openzipkin,varIntSizeInBytes_32,6.09394711598938e-08,5.4024706659010175e-09
apache,operators,9.211564267103841e-08,1.4201921310646524e-08
